Job_Title,Company,Location,Date_Posted,Category,Looking_for,Description
Python Backend Developer,Alicia Insurance,"Rotterdam, Zuid-Holland, Nederland/ the Netherlands",12 November 2021,Developer / Engineer,Back end,"You bring the following skills and experience: You have 2-4 years of experience with Python and preferably Django and PostgreSQL. You are able to clearly communicate and prioritize, assess and advice what the impact is of changes to our data layer (pros and cons). You are also pro-active in helping prioritizing the overall work of the team. You are a quick learner. You are fluent in both English and Dutch. You possess a higher education degree (HBO/WO) in Data Science / Engineering / Tech. "
Mid / Senior Python Developer,Tiller Technologies Limited,"London or anywhere in UK, United Kingdom",12 November 2021,Developer / Engineer,"Back end,Cloud,Database,Finance,Integration","Experience in: Languages: Advanced Python (async / thread-based development, OOP concepts, code refactoring & optimisation), JavaScript (Preferable) Databases: SQL, (2 years experience) (Azure SQL Optional) Python: Django or Flask (2.5 years experience), pandas, NumPy, JWT JavaScript: React / NextJS (Optional) Cloud / DevOps: Azure devops knowledge on Azure IaaS and PaaS platforms (Optional) Setup / Manage CI/CD pipelines (Preferable) Setup / Manage Azure App services (Optional) Azure Git repos, Basic Linux, (Azure Artifacts - Optional) Tools: Anaconda, Git, Excel, CSV/JSON processing (Optional) Environments: Back-end services, authentication services and External/Internal browser-based applications Strong experience of Architecture /design and development of (Data centric projects, Server-side application optimisation) Experience developing for financial services or other processional business service platforms (Preferable) Experience in creating applications and services utilising current industry security and resilience best practices Experience with load testing (Optional) "
Genomics Staff Data Scientist,Lawrence Berkeley National Laboratory,"Berkeley, Ca, United States",11 November 2021,Researcher / Scientist,"Database,Web","What is Required: B.S. in a related technical/scientific field, or equivalent experience, and a minimum of 8 years related experience. Extensive experience in genomic analysis, sequencing analysis pipelines, and significant research accomplishments including a strong publication record. Proficiency in developing analysis software (Python/Perl/R) in a UNIX environment. Broad understanding of bioinformatics tools used for genome analysis, development of re-sequencing pipelines, and integration of varied large data sets. In-depth experience running high throughput analyses in a parallel computing environment (SGE, SLURM). Demonstrated ability to troubleshoot highly complex technical problems; recommend and implement actions. Effective interpersonal, verbal, and written communication skills, including public speaking and presentation skills. Demonstrated ability to work well independently as well as a part of a diverse team. "
Python Developer with Big Data Experience (100% Remote - Full Time),Six Feet Up,"Indianapolis, IN, USA",11 November 2021,Developer / Engineer,"Back end,Big Data,Cloud,Database,Lead,Systems","We’re looking for a Python developer with 10+ years of software development experience and 5+ years of Python programming experience. Experience with Airflow, Databricks, DeltaLakes, Azure Data Factory, Terraform and/or Docker is a plus. Does this sound like you? If yes, send your resume and cover letter to jobs@sixfeetup.com with the subject ""Python Dev with Big Data Experience"". To be considered for this position you must also take the following PI assessment: https://assess.predictiveindex.com/GWdZn . About the Company Why work at Six Feet Up? We offer a unique human-friendly work environment that thrives based on the understanding that we all do our best work when we can choose how and when we work. Over the years, we have had a chance to work on exciting, highly-visible and renowned projects. We interact with high profile clients. We use Mac computers. We have quarterly Innovation Days and bi-annual retreats. We use a democratic and team-oriented decision-making process. Contact Info Contact : Laura Stephens E-mail contact : jobs @ sixfeetup . com Web : https://www.sixfeetup.com/company/python-dev-big-data "
Senior Python Developer (100% Remote - Full Time),Six Feet Up,"Indianapolis, IN, USA",11 November 2021,Developer / Engineer,"Back end,Big Data,Cloud,Web","Our dream candidate has Python web development experience; Unix/Linux systems deployment experience; and a passion for consulting, teamwork and solving problems. Terraform and Docker experience; AI/ML/Big Data experience; and/or an understanding of AWS API is a plus. As Senior Python Developer, you are expected to embody and promote the company’s 6 core values: do the right thing, go together, always improve, be proactive, use a can-do attitude and use a consultant's mindset. Does this sound like you? If yes, send your resume and cover letter to jobs@sixfeetup.com with the subject ""Senior Python Developer."" To be considered for this position you must also take the following PI assessment: https://assess.predictiveindex.com/GWdZn . About the Company Why work at Six Feet Up? We offer a unique human-friendly work environment that thrives based on the understanding that we all do our best work when we can choose how and when we work. Over the years, we have had a chance to work on exciting, highly-visible and renowned projects. We interact with high profile clients. We use Mac computers. We have quarterly Innovation Days and bi-annual retreats. We use a democratic and team-oriented decision-making process. Read more on what makes us unique... Contact Info Contact : Laura Stephens E-mail contact : jobs @ sixfeetup . com Web : https://www.sixfeetup.com/company/senior-python-developer-devops "
Data Engineering Senior Lead,Nesta,"London, London, United Kingdom",11 November 2021,Manager / Executive,"Big Data,Front end,Lead,Management,Systems","The person Essential Either A BSc or MSc qualification in a relevant quantitative discipline plus three years relevant experience, "
Senior Python Engineer,Bushel,"Fargo, ND, United States",11 November 2021,Developer / Engineer,Back end,"Need to be located in one of the following states: Arizona, Colorado, Florida, Illinois, Iowa, Michigan, Minnesota, Nebraska, North Dakota, Nevada, Oregon, South Dakota, Texas, Utah, Washington DC, Wisconsin Must be legally authorized to work in the United States, unfortunately, we do not provide sponsorship at this time. About the Company Bushel powers apps and websites that facilitate clear and simple business between grain companies and growers. An awarded team of consultants and builders with over 600 projects, specializing in logistics and operational solutions. Our Bushel Solutions team works with major ag industry players to discover, develop, and deploy custom software for the way you do business. At Bushel, you’ll find people clustered together around whiteboards sketching out wireframes, legs being stretched at adjustable standing desks. Conference rooms are packed with intelligence and mutual respect. There are hands reaching into the SnackNation box for a 2 p.m. energy boost. The absence of cubes allows members to flow freely; encouraging team cooperation and esoteric conversations about deep space. You’ll hear laughter erupting in any given room –– we like to laugh a lot around here. We don’t micromanage here. We have high autonomy, high accountability. We seek out the people that are self-starters. Movers and shakers. Responsible. Can see a hole and fill it. We move fast. We learn fast. We fail fast; we have a lot of grace. We don’t shirk to titles and experience; we all contribute and have a voice. Contact Info Contact : Molly McGinty E-mail contact : mmcginty @ bushelpowered . com Web : https://www.paycomonline.net/v4/ats/web.php/jobs/ViewJobDetails?job=64902&clientkey=484ED2188E091C199C755AB75A7B7C68 "
Senior Backend Developer Python,Coosto,"Eindhoven, Noord-Brabant, The Netherlands",11 November 2021,Developer / Engineer,"Back end,Database","First of all, you have a passion for your work. You are therefore always working on new technologies, programming, innovating and continuing to challenge and develop yourself. Scalability of processes, and thus performance, is important to you and you have an affinity with distributed systems and data processing. You enjoy researching and experimenting with new tools and technologies. If you are someone with a strong sense of ownership, are open-minded, are not afraid to ask questions and are a friendly and helpful person, then you will definitely feel at home in one of our teams. Furthermore: You have a bachelor's or master's degree in Informatics or Computer Science or another relevant study program; You have +/- 3 years of experience as a Backend Developer with knowledge of architecture; Extensive experience with Python or comparable languages and good knowledge of MySQL; Extensive experience with the Linux command line, Bash, Shell Scripting and Crontabs; It is a great advantage if you have experience with one or more of the following techniques: stream processing, ETL processes, queue systems and in-memory databases. You have experience with working in an Agile environment; You have good communication skills and your English is excellent; You are a real team player. "
Remote Direct Placement Opportunity:  Python/Django Developers!,Capstone IT,"Remote, Nebraska, United States",11 November 2021,Developer / Engineer,Back end,5+ years of Python/Django experience for a Developer role 10+ years of Python/Django experience for a Senior Developer role 
ML Software Engineer,Berkeley Existential Risk Initiative,"Amherst, MA, United States",10 November 2021,Developer / Engineer,Machine Learning,"3-7 years of relevant experience Deep knowledge of Python or C++ Broad familiarity with commonly-used machine learning algorithms Experience leading and owning a software development project from beginning to end Excellent technical communication skills, the ability to elaborate complex technical concepts and collaborate effectively with fellow engineers and researchers Prior research or research engineering experience "
Scalable API Python Developer,Zenith Strategic Global Partners,"REMOTE, United States",10 November 2021,Developer / Engineer,"Back end,Cloud,Integration,Lead",At least 7 years of experience developing scalable APIs using Python and Flask in a Cloud Environment such as GCP or AWS. Python Flask GCP AWS APIs 
Experienced Python and Django Developers (Fully Remote - Full Time),Stack Builders,"Remote, Remote",09 November 2021,Developer / Engineer,"Back end,Integration,Testing,Web","Experience in coding in Python and Django on production-level code for more than 3 years. Ability to deliver clean, well-structured OOP code written in Python. Experience with socket programming with Python. Nice to have: Celery + ElasticSearch experience Experience using TDD practices. Self-management skills with a pragmatic mindset focused on continuous improvement. Outstanding communication in English. Ability to find pragmatic and innovative solutions to complex problems. Experience working on real-time big data platforms. Availability to overlap at least 4 hours with GMT+1 timezone working hours (UK). "
Full Stack Python/Django Developers w/ JavaScript Experience (Remote-Full Time),Stack Builders,"New York, New York, USA",09 November 2021,Developer / Engineer,"Back end,Front end,Web","Proficiency in using Python in web development. Proficiency with Django and REST-framework (Wagtail CMS experience is nice to have). Comfortable working with Frontend technologies like HTML, SCSS, JavaScript, and React (or similar frameworks). Ability to write clean and well-structured code. Experience using Test-Driven Development practices. Fluent communication in English. Ability to find pragmatic and innovative solutions to complex problems. High attention to detail and the ability to break down and implement new ideas and designs. Ability to overlap at least 4 hours with the US PT timezone (UTC-7) Currently located and able to work in either Canada, the United States, or Ireland. Bachelor’s in Computer Science, related field, or equivalent industry experience. "
"Three Part Time (67%) Python Developers (1yr + 1yr + 5 months, all in 2022)",Institute of Astrophysics of Andalusia (IAA-CSIC),"Granada, Andalusia, Spain",09 November 2021,Developer / Engineer,"Front end,Numeric processing",Candidates should have a good knowledge of Python and should be fluent in spoken and written English. The use of Git is recommended Submit CV Knowledge of Spanish is not a requirement. Previous experience is not a requirement. Eagerness to learn is a plus. 
Software Engineer (Python),Picnic Technologies,"Amsterdam, North Holland, The Netherlands",09 November 2021,Developer / Engineer,Back end,"You have a degree in Computer Science, Software Engineering, or equivalent, or relevant experience You have outstanding Python skills (with at least 2 years of experience) You have experience with Docker You have a good understanding of relational databases and SQL You know when to use NoSQL solutions like MongoDB, ElasticSearch, and RabbitMQ You feel comfortable building microservices You know your way around software versioning (git), test suites, technical documentation, and continuous integration and deployment "
Backend Python Programmer (Fully Remote),Pinogy Corp,"Remote, Remote",09 November 2021,Developer / Engineer,"Back end,Database","Responsibilities: Implement backend services (RESTful API, services) Implement libraries for the internal usage Write scripts for automation, testing, etc Work with a database (PostgreSQL) Work in a team Full-time work "
Senior Python Developer,Private,"Berlin, Berlin- Brandenburg, Germany",09 November 2021,Developer / Engineer,"Back end,Big Data,Cloud,Finance","Must-have Competencies: Expert-level Python backend development Experience with Cloud infrastructure (DevOps, Docker) Experience with Data Engineering (Airflow) "
Mid Python Developer,d.labs,"Remote, Slovenia",09 November 2021,Developer / Engineer,"Back end,Database",Python (Django) SQL/noSQL Elasticsearch TDD GraphQL English 
(Senior) Backend Developer,Yousician,"Helsinki, Uusimaa, Finland",09 November 2021,Developer / Engineer,"Back end,Database","WHO YOU ARE Strong knowledge of Python and related frameworks (we use Flask) Strong familiarity with databases (mostly MongoDB) To succeed in this job you should have experience in API development Experience working with cross-functional, agile teams Experience in A/B testing is a plus For one of the roles, experience working with monetization, payment processors and processor integrations is a big plus. "
Data Integration Architect/Engineer: Python,Shatzkin Systems Inc.,"Croton on Hudson, New York, USA",09 November 2021,Developer / Engineer,"Back end,Big Data,Database,Integration,Operations,Systems","Experience with Python Hands on experience with writing Python scripts for data manipulation Experience with ETL data flows Experience with Regular Expressions and XML a plus Experience with CCD & FHIR healthcare standards a plus Self-starter and desire to move projects forward and to completion Curiosity to understand best practices, how details fit into big picture Desire to work to incredibly high standard for testing quality, outcomes "
Software Engineer,Lights On Software,"Toronto, Canada",08 November 2021,Developer / Engineer,"Back end,Front end","Excellent communication skills as you would be interfacing directly with our clients Ability to listen, capture, and communicate requirements Ability to work independently in a remote environment (our team is fully remote) with minimal oversight Several years of delivering Python web applications (Django preferred) Experience with different parts of the software stack such as front-end or devops Work hours according to one of the North American timezones Good understanding of Computer Science fundamentals Understanding of relational database concepts and SQL query optimization Grasp of performance trade-offs present in web applications and full HTTP request/response cycle "
Research Assistant/Associate in PL/VMs,King's College London,"London / remote, England",08 November 2021,Researcher / Scientist,Systems,"Excellent programming skills (C and Python are particularly useful, but excellence can be shown in any other programming language too e.g. C++/Java/Rust) The ability to work well with others. "
Part-Time Python Software Engineer,"Assosiation of Rational Enterprise, LLC","Worldwide, Worldwide",08 November 2021,Developer / Engineer,"Back end,Front end,Web",Python 3 Linux Data Structures and Algorithms Networking Multithreading 
Part-Time Python Web Developer,"Assosiation of Rational Enterprise, LLC","Worldwide, Worldwide",08 November 2021,Developer / Engineer,"Back end,Front end,Web","Python 3, Flask JavaScript SQL, CSS, HTML Linux Data Structures and Algorithms Networking "
Senior Open Source Developer & DevOps,OpenCraft,"Worldwide (true remote, all timezones), Germany (incorporation, no office)",05 November 2021,Developer / Engineer,"Back end,Database,Front end,Integration,Management,Operations,Web","Basic Requirements: Experience with contributing to free software projects - small contributions are completely fine, but you must have at least one patch or pull request merged in a third-party project, or been a maintainer of an open source project with significant adoption. (Note that you can contribute now to satisfy this requirement - see for example the Open edX release issues, fixing one of these issues guarantees an interview.) Senior developer with 3+ years working with Python Experience with Python web frameworks, specifically Django 3+ years of HTML, Javascript, and CSS (experience with React and/or Typescript is a big plus!) Experience with unit testing Comfortable working in a Linux environment, specifically Debian or Ubuntu Experience with databases: MySQL, MongoDB, PostgreSQL "
Lead Senior Software Engineer,Confidential,"Cambridge MA, MA, USA",05 November 2021,Developer / Engineer,"Big Data,Cloud,Lead,Machine Learning",5+ Years experience of Software Engineering - Design and Development Strong knowledge of Python OOP and Data Structures Systems Design  and team lead experience Preferred AWS experience Preferred Machine Learning experience 
Senior Backend Engineer (m/f/d),Cargo One GmbH,"Berlin (or remote from almost any city within the European timezones), Germany (or remote from almost any country within the European timezones)",04 November 2021,Developer / Engineer,"Back end,Cloud,Integration,Web","🙋🏽‍♀️ What you’ll need: Relevant experience. We won’t commit on a minimum number of years, but we expect you to have seen your fair share of projects that you have worked on as part of a development team. You should be interested in building an amazing product. Have empathy for the user. Care about the work we are trying to do here and enjoy the opportunity to influence an industry. You have to be an active and open collaborator and communicator, in and outside the team. Verbal and written communication are both highly relevant in what we are doing. We value a good theoretical foundation. Never used Python before? Not a problem from our perspective. If you have experience with Ruby, Java, Go, PHP or something similar, you will be up to speed quickly. Much more important is that you have a strong understanding of fundamentals. Serve the team. If you plow through the tasks you picked but your team struggles to deliver on another aspect of the sprint, nothing is won. "
Software Developer- Python,Accubits Technologies,"Trivandrum, Kerala, India",04 November 2021,Developer / Engineer,"Back end,Front end,Web","Must be an expert in Python programming (4+yrs of experience). Proficiency in Django and MySQL (MANDATORY) Create and Maintain Rest API’s. Integrate and Handle MySQL database. Should have knowledge of user authentication and authorization between multiple systems, servers, and environments. Must be familiar with some ORM (Object Relational Mapper) libraries. Must be able to integrate multiple data sources and databases into one system Experience in working with a SCRUM or Agile team is an advantage. Strong understanding of fundamental design principles behind a scalable application Strong unit test and debugging skills. Proficient understanding of code versioning tools. Strong Knowledge of Rest Framework. Good to have knowledge in Flask framework but not necessary. "
Data Scientist,Logic20/20,"Remote, Remote, United States",03 November 2021,Other,"Machine Learning,Systems","Good Knowledge of SQL (3+ years) creating advanced queries in a high impact role Knowledge of Statistics and Machine Learning techniques 3+ years building statistical models/evaluating/Feature selection in a high impact role Knowledge of the latest NLP techniques Masters in Stats, computer science or related field Knowledge of R or Python (3+ years) Knowledge of C# (at least 1 year) Experience building data pipelines A portfolio of NLP projects to showcase and discuss Experience in marketing analytics, attribution modeling, or click-stream data analysis MS / PhD in Machine Learning, Statistics, Computer Science, Data Mining, Math or any quantitative discipline "
Python ML Engineer,La Fosse Associates,"London, United Kingdom",03 November 2021,Developer / Engineer,"Back end,Big Data,Cloud,Database,Finance,Lead,Machine Learning","3+ years of commercial experience with Python 2+ years with Machine Learning and data science libraries Strong Academic background- ideally PhD or MSc in Physics, Chemistry or any STEM discipline Experience delivering high-quality production Python Code Experience with cloud-based infrastructures, preferably with AWS Experience working alongside data engineers and data scientists Experience with leading a team and mentoring colleagues Strong advocate for engineering best practices: unit and integration testing, code review, documentation "
Python Data Developer - London,La Fosse Associates,"London, United Kingdom",03 November 2021,Developer / Engineer,"Back end,Big Data,Database,Lead","+3 Years commercial experience of Python Programming Proficient in SQL and Data Analytic tools (Alteryx, Tableau) Analysing current strategy and evaluating where efficiencies can be gained Takes responsibility for actions, projects and people; takes initiative and works under own direction You will enjoy working in a stimulating, diverse and intellectually challenging environment where collaboration is essential to achieving results. "
Python Developer - Fully Remote,La Fosse Associates,"London, United Kingdom",03 November 2021,Developer / Engineer,"Back end,Lead","Fluency or understanding of specific languages, such as Python, Golang, Java, C and operating systems Further training in Golang can also be provided if you are willing to cross train from a Java or Python background Experience with TDD and other testing principles Expertise with AWS tools and services, Command of software-automation production systems (Jenkins, GitHub Actions) "
"Python Lead (Python, GCP, Data Science Team) - Remote UK",La Fosse Associates,"London, United Kingdom",03 November 2021,Developer / Engineer,"Back end,Big Data,Cloud,Database,Lead,Machine Learning",+3 Years of commercial experience with Python development +3 Years SQL experience Experience with Data Science Experience using CI/CD pipelines to get work into production Strong leadership credentials 
Python Developer/Data Pipeline Architect,Wells Fargo,"Minneapolis - St. Paul Area, Minnesota, United States",03 November 2021,Developer / Engineer,"Back end,Big Data,Finance,Systems,Testing","Required Qualifications 7+ years of software engineering experience 7+ years of application development experience 7+ years of experience in application & data architecture and solution design 5+ years of Java experience 5+ years of Agile experience 7+ years of advanced scripting experience using Unix Shell Scripting, Perl, Python, Java, or PL-SQL 5+ years of experience working with Relationship Database Management Systems (RDBMS) such as SQL Server, Oracle or MySQL "
Remote Fullstack Developer (Python/React/AWS),Finetune,"Remote (standard EST meeting times), Remote (standard EST meeting times), Remote (standard EST meeting times)",02 November 2021,Developer / Engineer,"Back end,Cloud,Front end,Integration,Systems,Text Processing","Experience with : Python, Flask, FastAPI, SQLAlchemy, GraphQL React, axios, webpack MySQL, PostgreSQL, SQS, Redis, Redshift, Elasticsearch, MongoDB "
Senior Backend End Engineer,CANOA SUPPLY,"Remote, Europe, US, latin America",02 November 2021,Developer / Engineer,"Back end,Database,Operations,Web","Multiple years of experience writing backend software for enterprise services using Python Deep understanding of microservice architectures Proficient in provisioning and maintaining cloud infrastructure through code Extensive experience with maintaining, and optimising relational databases "
Senior Fullstack (Javascript-Python),ParallelStaff,"Remote, Remote, USA",01 November 2021,Developer / Engineer,"Back end,Integration,Lead","Required Skills and Qualifications 4+ years using JavaScript libraries and frameworks (ReactJS, AngularJS, JQuery, VueJS preferred). 4+ years of experience in JavaScript building web-based applications. 1+ years leading a Javascript development team. 1+ years Python. Good communications skills. Advanced English level, written and conversational. "
Python Senior Developer,Enuan Srl,"Milano, Italy",29 October 2021,Developer / Engineer,"Back end,Cloud,Database,Integration,Operations",deep knowledge of Python programming language knowledge of Django and Django Rest Framework 
Backend Engineer,Haven,"Remote, NY, United States",27 October 2021,Developer / Engineer,"Back end,Integration,Management,Systems","An interest or background in developing solutions for the homeowner journey You will work in cross-functional teams to build projects that deliver value to investors, banks, and borrowers You are skilled at designing, implementing, and evolving data models over time You are skilled at API design You have previous experience with Python, Django, and AWS You are able to work independently in a structured way to make progress despite ambiguity You have 3+ years of software development experience "
Instructor Position: Introduction to Python Programming and/or Intermediate Python,"UC Davis ,Continuing and Professional Education","Davis, CA, United States",26 October 2021,Other,,"Subject matter expertise in Python. Teaching or training experience with an adult professional population. Demonstrated ability to work with a diverse student population. Comfortable with public speaking. Passion for teaching adult learners and motivated by student success. Capacity to deliver materials and teach as contracted. Ability to communicate professionally with internal staff, students, fellow instructors and industry. "
Senior Manager - Technical Consulting,Quansight,"Austin, TX, United States",26 October 2021,Manager / Executive,"Machine Learning,Management",Proven experience in applying PyTorch (or Tensorflow) to deep learning problems 3+ years experience in professional artificial intelligence positions Ph.D. or M.S. in STEM field or equivalent experience Ability to work on remote Linux systems Ability to collaborate and work effectively on small teams of developers and data scientists Curiosity and creative problem solving Efficient communication skills US citizen 
"Jr Software Engineer: learn OpenStack, IaC for scientific computing/HPC",StackHPC,"Bristol, United Kingdom",26 October 2021,Developer / Engineer,"Back end,Cloud,Integration,Numeric processing,Operations,Systems","Your skills may include Writing automation and/or product code with Python Deployment and admin of Linux Config management - Ansible or similar Infrastructure lifecycle management - Terraform or similar Applying Infrastructure as Code (IaC) approaches Systems and process automation using Python and Bash Supporting Docker containerisation methods Development lifecycle tools, such as Git, Jira Use of monitoring and reporting tools, such as Prometheus and Grafana "
Senior Data Engineer (Remote),Bolt Talent Solutions,"Remote Work, South Africa",26 October 2021,Developer / Engineer,"Big Data,Machine Learning","5+ years industry experience building data infrastructure Bachelors/Masters in Computer Science Fluent in Python, SQL - (Mandatory) Java knowledge will be a plus Experience implementing systems for data workflow management Proficient in algorithm design and data structures Experience in developing and publishing APIs using web services Experience using at least some among distributed storage (e.g. S3), serverless architecture (e.g. Lambda), streaming data (e.g. Kafka), scalable search (e.g. Elasticsearch) Experience with big data technologies like map-reduce, NoSQL, Spark, HBase, Hive Familiarity with containerization (e.g. Docker/Kubernetes), and other deployment tooling Strong communication and collaboration skills to work with across teams "
Senior Data Scientist (Remote),Bolt Talent Solutions,"Remote Work, South Africa",26 October 2021,Other,"Big Data,Integration,Machine Learning","5+ experience in data science and machine learning Bachelors/Masters in Computer Science or Applied Mathematics, Statistics Fluent in Python, SQL Solid fundamentals of probability, statistics, mathematical optimization, and machine Proficient with Python data science libraries (numpy, scipy, spacy, etc.) Proficient with R, Matlab or other statistical computing languages Familiarity with deep learning framworks like Tensorflow, Keras, PyTorch, etc. Familiarity with big data technologies like map-reduce, NoSQL, Spark, H Base, Hive A record of published patents and/or peer-reviewed conference/journal publications will be considered a big plus Strong communication and collaboration skills to work with across teams "
Senior Data Engineer (Remote),Bolt Talent Solutions,"Remote Work, South Africa",25 October 2021,Other,"Big Data,Machine Learning","5+ experience in data science and machine learning Bachelors/Masters in Computer Science or Applied Mathematics, Statistics Fluent in Python, SQL (Mandatory) Solid fundamentals of probability, statistics, mathematical optimization, and machine Proficient with Python data science libraries (numpy, scipy, spacy, etc.) Experience in building data Infrastructure Proficient with R, Matlab or other statistical computing languages Familiarity with deep learning framworks like Tensorflow, Keras, PyTorch, etc. Familiarity with big data technologies like map-reduce, NoSQL, Spark, H Base, Hive A record of published patents and/or peer-reviewed conference/journal publications will be considered a big plus Strong communication and collaboration skills to work with across teams "
Data Analyst,Bolt Talent Solutions,"Remote Work, South Africa, South Africa",25 October 2021,Data Analyst,"Big Data,Database","5+years of industry experience in data analysis and data presentation Bachelors/Masters in Computer Science or Applied Mathematics, Statistics or any Analytical discipline Fluent in SQL and Python (Mandatory) Strong drive to be data-driven and make decisions based on data Experience working with large data sets and relational databases Bonus: experience working with NoSQL databases Experience with either or both Statistics and Experimental Design Strong storytelling and visualization skills Experience with Data Visualization tools like Tableau, Power BI, Google data studio Experience with Python or R will be a big plus Excellent communication, presentation and collaboration skills to work across teams Naturally detail-oriented "
Backend Python Developer for Distributed Company,DomainsBot.com,"Remote, Remote, Remote",22 October 2021,Developer / Engineer,"Back end,Big Data,Cloud,Database,Machine Learning,Operations,Text Processing","There are some skills which take long to develop, so it would be greatly beneficial to already have: The official company language is English and a very good level is required. Five years of experience developing software is required. Python takes months to master so good knowledge is required. Experience with operations on Linux is important. "
Specialist Python Developer,Bolt Talent Solutions,"ebene, Mauritius/ South Africa",22 October 2021,Developer / Engineer,,"Reporting to the Director of Asset Management, the role provides support to the Asset Management team. TECH SKILLS: Proficient with quantitative modeling. Coding experience with understanding of object-oriented software development and experience with Python, Bash, Python’s scientific libraries (NumPy, Pandas), and version control tools, such as git. C++ experience is a plus. Experience navigating a Linux command line environment, including managing/troubleshooting Linux systems and familiarity with the Unix command line and basic shell. Experience with AWS tools and services. Experience in fintech, lending, banking, or asset management. Knowledge of cryptocurrency, including Bitcoin and Ethereum, and cryptocurrency exchanges. Data analysis abilities and experience with SQL and NoSQL databases and DataFrames in Python or R. "
