Job_Title,Company,Location,Date_Posted,Category,Looking_for,Description
Scalable API Python Developer,Zenith Strategic Global Partners,"REMOTE, United States",10 November 2021,Developer / Engineer,"Back end,Cloud,Integration,Lead",At least 7 years of experience developing scalable APIs using Python and Flask in a Cloud Environment such as GCP or AWS.PythonFlaskGCPAWSAPIs
Experienced Python and Django Developers (Fully Remote - Full Time),Stack Builders,"Remote, Remote",09 November 2021,Developer / Engineer,"Back end,Integration,Testing,Web","Experience in coding in Python and Django on production-level code for more than 3 years.Ability to deliver clean, well-structured OOP code written in Python.Experience with socket programming with Python.Nice to have: Celery + ElasticSearch experienceExperience using TDD practices.Self-management skills with a pragmatic mindset focused on continuous improvement.Outstanding communication in English.Ability to find pragmatic and innovative solutions to complex problems.Experience working on real-time big data platforms.Availability to overlap at least 4 hours with GMT+1 timezone working hours (UK)."
Full Stack Python/Django Developers w/ JavaScript Experience (Remote-Full Time),Stack Builders,"New York, New York, USA",09 November 2021,Developer / Engineer,"Back end,Front end,Web","Proficiency in using Python in web development.Proficiency with Django and REST-framework (Wagtail CMS experience is nice to have).Comfortable working with Frontend technologies like HTML, SCSS, JavaScript, and React (or similar frameworks).Ability to write clean and well-structured code.Experience using Test-Driven Development practices.Fluent communication in English.Ability to find pragmatic and innovative solutions to complex problems.High attention to detail and the ability to break down and implement new ideas and designs.Ability to overlap at least 4 hours with the US PT timezone (UTC-7)Currently located and able to work in either Canada, the United States, or Ireland.Bachelor’s in Computer Science, related field, or equivalent industry experience."
"Three Part Time (67%) Python Developers (1yr + 1yr + 5 months, all in 2022)",Institute of Astrophysics of Andalusia (IAA-CSIC),"Granada, Andalusia, Spain",09 November 2021,Developer / Engineer,"Front end,Numeric processing",Candidates should have a good knowledge of Python and should be fluent in spoken and written English.The use of Git is recommendedSubmit CVKnowledge of Spanish is not a requirement.Previous experience is not a requirement. Eagerness to learn is a plus.
Software Engineer (Python),Picnic Technologies,"Amsterdam, North Holland, The Netherlands",09 November 2021,Developer / Engineer,Back end,"You have a degree in Computer Science, Software Engineering, or equivalent, or relevant experienceYou have outstanding Python skills (with at least 2 years of experience)You have experience with DockerYou have a good understanding of relational databases and SQLYou know when to use NoSQL solutions like MongoDB, ElasticSearch, and RabbitMQYou feel comfortable building microservicesYou know your way around software versioning (git), test suites, technical documentation, and continuous integration and deployment"
Backend Python Programmer (Fully Remote),Pinogy Corp,"Remote, Remote",09 November 2021,Developer / Engineer,"Back end,Database","Responsibilities:Implement backend services (RESTful API, services)Implement libraries for the internal usageWrite scripts for automation, testing, etcWork with a database (PostgreSQL)Work in a teamFull-time work"
Senior Python Developer,Private,"Berlin, Berlin- Brandenburg, Germany",09 November 2021,Developer / Engineer,"Back end,Big Data,Cloud,Finance","Must-have Competencies:Expert-level Python backend developmentExperience with Cloud infrastructure (DevOps, Docker)Experience with Data Engineering (Airflow)"
Mid Python Developer,d.labs,"Remote, Slovenia",09 November 2021,Developer / Engineer,"Back end,Database",Python (Django)SQL/noSQLElasticsearchTDDGraphQLEnglish
(Senior) Backend Developer,Yousician,"Helsinki, Uusimaa, Finland",09 November 2021,Developer / Engineer,"Back end,Database","WHO YOU AREStrong knowledge of Python and related frameworks (we use Flask)Strong familiarity with databases (mostly MongoDB)To succeed in this job you should have experience in API developmentExperience working with cross-functional, agile teamsExperience in A/B testing is a plusFor one of the roles, experience working with monetization, payment processors and processor integrations is a big plus."
Data Integration Architect/Engineer: Python,Shatzkin Systems Inc.,"Croton on Hudson, New York, USA",09 November 2021,Developer / Engineer,"Back end,Big Data,Database,Integration,Operations,Systems","Experience with PythonHands on experience with writing Python scripts for data manipulationExperience with ETL data flowsExperience with Regular Expressions and XML a plusExperience with CCD & FHIR healthcare standards a plusSelf-starter and desire to move projects forward and to completionCuriosity to understand best practices, how details fit into big pictureDesire to work to incredibly high standard for testing quality, outcomes"
Software Engineer,Lights On Software,"Toronto, Canada",08 November 2021,Developer / Engineer,"Back end,Front end","Excellent communication skills as you would be interfacing directly with our clientsAbility to listen, capture, and communicate requirementsAbility to work independently in a remote environment (our team is fully remote) with minimal oversightSeveral years of delivering Python web applications (Django preferred)Experience with different parts of the software stack such as front-end or devopsWork hours according to one of the North American timezonesGood understanding of Computer Science fundamentalsUnderstanding of relational database concepts and SQL query optimizationGrasp of performance trade-offs present in web applications and full HTTP request/response cycle"
Research Assistant/Associate in PL/VMs,King's College London,"London / remote, England",08 November 2021,Researcher / Scientist,Systems,"Excellent programming skills (C and Python are particularly useful, but excellence can be shown in any other programming language too e.g. C++/Java/Rust)The ability to work well with others."
Part-Time Python Software Engineer,"Assosiation of Rational Enterprise, LLC","Worldwide, Worldwide",08 November 2021,Developer / Engineer,"Back end,Front end,Web",Python 3LinuxData Structures and AlgorithmsNetworkingMultithreading
Part-Time Python Web Developer,"Assosiation of Rational Enterprise, LLC","Worldwide, Worldwide",08 November 2021,Developer / Engineer,"Back end,Front end,Web","Python 3, FlaskJavaScriptSQL, CSS, HTMLLinuxData Structures and AlgorithmsNetworking"
Senior Open Source Developer & DevOps,OpenCraft,"Worldwide (true remote, all timezones), Germany (incorporation, no office)",05 November 2021,Developer / Engineer,"Back end,Database,Front end,Integration,Management,Operations,Web","Basic Requirements:Experience with contributing to free software projects - small contributions are completely fine, but you must have at least one patch or pull request merged in a third-party project, or been a maintainer of an open source project with significant adoption. (Note that you can contribute now to satisfy this requirement - see for example the Open edX release issues, fixing one of these issues guarantees an interview.)Senior developer with 3+ years working with PythonExperience with Python web frameworks, specifically Django3+ years of HTML, Javascript, and CSS (experience with React and/or Typescript is a big plus!)Experience with unit testingComfortable working in a Linux environment, specifically Debian or UbuntuExperience with databases: MySQL, MongoDB, PostgreSQL"
Lead Senior Software Engineer,Confidential,"Cambridge MA, MA, USA",05 November 2021,Developer / Engineer,"Big Data,Cloud,Lead,Machine Learning",5+ Years experience of Software Engineering - Design and DevelopmentStrong knowledge of PythonOOP and Data StructuresSystems Design  and team lead experiencePreferred AWS experiencePreferred Machine Learning experience
Senior Backend Engineer (m/f/d),Cargo One GmbH,"Berlin (or remote from almost any city within the European timezones), Germany (or remote from almost any country within the European timezones)",04 November 2021,Developer / Engineer,"Back end,Cloud,Integration,Web","🙋🏽‍♀️ What you’ll need:Relevant experience. We won’t commit on a minimum number of years, but we expect you to have seen your fair share of projects that you have worked on as part of a development team.You should be interested in building an amazing product. Have empathy for the user. Care about the work we are trying to do here and enjoy the opportunity to influence an industry.You have to be an active and open collaborator and communicator, in and outside the team. Verbal and written communication are both highly relevant in what we are doing.We value a good theoretical foundation. Never used Python before? Not a problem from our perspective. If you have experience with Ruby, Java, Go, PHP or something similar, you will be up to speed quickly. Much more important is that you have a strong understanding of fundamentals.Serve the team. If you plow through the tasks you picked but your team struggles to deliver on another aspect of the sprint, nothing is won."
Software Developer- Python,Accubits Technologies,"Trivandrum, Kerala, India",04 November 2021,Developer / Engineer,"Back end,Front end,Web","Must be an expert in Python programming (4+yrs of experience).Proficiency in Django and MySQL (MANDATORY) Create and Maintain Rest API’s.Integrate and Handle MySQL database.Should have knowledge of user authentication and authorization between multiple systems, servers, and environments.Must be familiar with some ORM (Object Relational Mapper) libraries.Must be able to integrate multiple data sources and databases into one systemExperience in working with a SCRUM or Agile team is an advantage.Strong understanding of fundamental design principles behind a scalable applicationStrong unit test and debugging skills.Proficient understanding of code versioning tools.Strong Knowledge of Rest Framework.Good to have knowledge in Flask framework but not necessary."
Data Scientist,Logic20/20,"Remote, Remote, United States",03 November 2021,Other,"Machine Learning,Systems","Good Knowledge of SQL (3+ years) creating advanced queries in a high impact roleKnowledge of Statistics and Machine Learning techniques3+ years building statistical models/evaluating/Feature selection in a high impact roleKnowledge of the latest NLP techniquesMasters in Stats, computer science or related fieldKnowledge of R or Python (3+ years)Knowledge of C# (at least 1 year)Experience building data pipelinesA portfolio of NLP projects to showcase and discussExperience in marketing analytics, attribution modeling, or click-stream data analysisMS / PhD in Machine Learning, Statistics, Computer Science, Data Mining, Math or any quantitative discipline"
Python ML Engineer,La Fosse Associates,"London, United Kingdom",03 November 2021,Developer / Engineer,"Back end,Big Data,Cloud,Database,Finance,Lead,Machine Learning","3+ years of commercial experience with Python2+ years with Machine Learning and data science librariesStrong Academic background- ideally PhD or MSc in Physics, Chemistry or any STEM disciplineExperience delivering high-quality production Python CodeExperience with cloud-based infrastructures, preferably with AWSExperience working alongside data engineers and data scientistsExperience with leading a team and mentoring colleaguesStrong advocate for engineering best practices: unit and integration testing, code review, documentation"
Python Data Developer - London,La Fosse Associates,"London, United Kingdom",03 November 2021,Developer / Engineer,"Back end,Big Data,Database,Lead","+3 Years commercial experience of Python ProgrammingProficient in SQL and Data Analytic tools (Alteryx, Tableau)Analysing current strategy and evaluating where efficiencies can be gainedTakes responsibility for actions, projects and people; takes initiative and works under own directionYou will enjoy working in a stimulating, diverse and intellectually challenging environment where collaboration is essential to achieving results."
Python Developer - Fully Remote,La Fosse Associates,"London, United Kingdom",03 November 2021,Developer / Engineer,"Back end,Lead","Fluency or understanding of specific languages, such as Python, Golang, Java, C and operating systemsFurther training in Golang can also be provided if you are willing to cross train from a Java or Python backgroundExperience with TDD and other testing principlesExpertise with AWS tools and services,Command of software-automation production systems (Jenkins, GitHub Actions)"
"Python Lead (Python, GCP, Data Science Team) - Remote UK",La Fosse Associates,"London, United Kingdom",03 November 2021,Developer / Engineer,"Back end,Big Data,Cloud,Database,Lead,Machine Learning",+3 Years of commercial experience with Python development+3 Years SQL experienceExperience with Data ScienceExperience using CI/CD pipelines to get work into productionStrong leadership credentials
Python Developer/Data Pipeline Architect,Wells Fargo,"Minneapolis - St. Paul Area, Minnesota, United States",03 November 2021,Developer / Engineer,"Back end,Big Data,Finance,Systems,Testing","Required Qualifications7+ years of software engineering experience7+ years of application development experience7+ years of experience in application & data architecture and solution design5+ years of Java experience5+ years of Agile experience7+ years of advanced scripting experience using Unix Shell Scripting, Perl, Python, Java, or PL-SQL5+ years of experience working with Relationship Database Management Systems (RDBMS) such as SQL Server, Oracle or MySQL"
Remote Fullstack Developer (Python/React/AWS),Finetune,"Remote (standard EST meeting times), Remote (standard EST meeting times), Remote (standard EST meeting times)",02 November 2021,Developer / Engineer,"Back end,Cloud,Front end,Integration,Systems,Text Processing","Experience with :Python, Flask, FastAPI, SQLAlchemy, GraphQLReact, axios, webpackMySQL, PostgreSQL, SQS, Redis, Redshift, Elasticsearch, MongoDB"
Senior Backend End Engineer,CANOA SUPPLY,"Remote, Europe, US, latin America",02 November 2021,Developer / Engineer,"Back end,Database,Operations,Web","Multiple years of experience writing backend software for enterprise services using PythonDeep understanding of microservice architecturesProficient in provisioning and maintaining cloud infrastructure through codeExtensive experience with maintaining, and optimising relational databases"
Senior Fullstack (Javascript-Python),ParallelStaff,"Remote, Remote, USA",01 November 2021,Developer / Engineer,"Back end,Integration,Lead","Required Skills and Qualifications4+ years using JavaScript libraries and frameworks (ReactJS, AngularJS, JQuery, VueJS preferred).4+ years of experience in JavaScript building web-based applications.1+ years leading a Javascript development team.1+ years Python.Good communications skills.Advanced English level, written and conversational."
Python Senior Developer,Enuan Srl,"Milano, Italy",29 October 2021,Developer / Engineer,"Back end,Cloud,Database,Integration,Operations",deep knowledge of Python programming languageknowledge of Django and Django Rest Framework
Backend Engineer,Haven,"Remote, NY, United States",27 October 2021,Developer / Engineer,"Back end,Integration,Management,Systems","An interest or background in developing solutions for the homeowner journeyYou will work in cross-functional teams to build projects that deliver value to investors, banks, and borrowersYou are skilled at designing, implementing, and evolving data models over timeYou are skilled at API designYou have previous experience with Python, Django, and AWSYou are able to work independently in a structured way to make progress despite ambiguityYou have 3+ years of software development experience"
Instructor Position: Introduction to Python Programming and/or Intermediate Python,"UC Davis ,Continuing and Professional Education","Davis, CA, United States",26 October 2021,Other,,"Subject matter expertise in Python.Teaching or training experience with an adult professional population.Demonstrated ability to work with a diverse student population.Comfortable with public speaking.Passion for teaching adult learners and motivated by student success.Capacity to deliver materials and teach as contracted.Ability to communicate professionally with internal staff, students, fellow instructors and industry."
Senior Manager - Technical Consulting,Quansight,"Austin, TX, United States",26 October 2021,Manager / Executive,"Machine Learning,Management",Proven experience in applying PyTorch (or Tensorflow) to deep learning problems3+ years experience in professional artificial intelligence positionsPh.D. or M.S. in STEM field or equivalent experienceAbility to work on remote Linux systemsAbility to collaborate and work effectively on small teams of developers and data scientistsCuriosity and creative problem solvingEfficient communication skillsUS citizen
"Jr Software Engineer: learn OpenStack, IaC for scientific computing/HPC",StackHPC,"Bristol, United Kingdom",26 October 2021,Developer / Engineer,"Back end,Cloud,Integration,Numeric processing,Operations,Systems","Your skills may includeWriting automation and/or product code with PythonDeployment and admin of LinuxConfig management - Ansible or similarInfrastructure lifecycle management - Terraform or similarApplying Infrastructure as Code (IaC) approachesSystems and process automation using Python and BashSupporting Docker containerisation methodsDevelopment lifecycle tools, such as Git, JiraUse of monitoring and reporting tools, such as Prometheus and Grafana"
Senior Data Engineer (Remote),Bolt Talent Solutions,"Remote Work, South Africa",26 October 2021,Developer / Engineer,"Big Data,Machine Learning","5+ years industry experience building data infrastructureBachelors/Masters in Computer ScienceFluent in Python, SQL - (Mandatory)Java knowledge will be a plusExperience implementing systems for data workflow managementProficient in algorithm design and data structuresExperience in developing and publishing APIs using web servicesExperience using at least some among distributed storage (e.g. S3), serverless architecture (e.g. Lambda), streaming data (e.g. Kafka), scalable search (e.g. Elasticsearch)Experience with big data technologies like map-reduce, NoSQL, Spark, HBase, HiveFamiliarity with containerization (e.g. Docker/Kubernetes), and other deployment toolingStrong communication and collaboration skills to work with across teams"
Senior Data Scientist (Remote),Bolt Talent Solutions,"Remote Work, South Africa",26 October 2021,Other,"Big Data,Integration,Machine Learning","5+ experience in data science and machine learningBachelors/Masters in Computer Science or Applied Mathematics, StatisticsFluent in Python, SQLSolid fundamentals of probability, statistics, mathematical optimization, and machineProficient with Python data science libraries (numpy, scipy, spacy, etc.)Proficient with R, Matlab or other statistical computing languagesFamiliarity with deep learning framworks like Tensorflow, Keras, PyTorch, etc.Familiarity with big data technologies like map-reduce, NoSQL, Spark, H Base, HiveA record of published patents and/or peer-reviewed conference/journal publications will be considered a big plusStrong communication and collaboration skills to work with across teams"
Senior Data Engineer (Remote),Bolt Talent Solutions,"Remote Work, South Africa",25 October 2021,Other,"Big Data,Machine Learning","5+ experience in data science and machine learningBachelors/Masters in Computer Science or Applied Mathematics, StatisticsFluent in Python, SQL (Mandatory)Solid fundamentals of probability, statistics, mathematical optimization, and machineProficient with Python data science libraries (numpy, scipy, spacy, etc.)Experience in building data InfrastructureProficient with R, Matlab or other statistical computing languagesFamiliarity with deep learning framworks like Tensorflow, Keras, PyTorch, etc.Familiarity with big data technologies like map-reduce, NoSQL, Spark, H Base, HiveA record of published patents and/or peer-reviewed conference/journal publications will be considered a big plusStrong communication and collaboration skills to work with across teams"
Data Analyst,Bolt Talent Solutions,"Remote Work, South Africa, South Africa",25 October 2021,Data Analyst,"Big Data,Database","5+years of industry experience in data analysis and data presentationBachelors/Masters in Computer Science or Applied Mathematics, Statistics or any Analytical disciplineFluent in SQL and Python (Mandatory)Strong drive to be data-driven and make decisions based on dataExperience working with large data sets and relational databasesBonus: experience working with NoSQL databasesExperience with either or both Statistics and Experimental DesignStrong storytelling and visualization skillsExperience with Data Visualization tools like Tableau, Power BI, Google data studioExperience with Python or R will be a big plusExcellent communication, presentation and collaboration skills to work across teamsNaturally detail-oriented"
Backend Python Developer for Distributed Company,DomainsBot.com,"Remote, Remote, Remote",22 October 2021,Developer / Engineer,"Back end,Big Data,Cloud,Database,Machine Learning,Operations,Text Processing","There are some skills which take long to develop, so it would be greatly beneficial to already have:The official company language is English and a very good level is required.Five years of experience developing software is required.Python takes months to master so good knowledge is required.Experience with operations on Linux is important."
Specialist Python Developer,Bolt Talent Solutions,"ebene, Mauritius/ South Africa",22 October 2021,Developer / Engineer,,"Reporting to the Director of Asset Management, the role provides support to the Asset Management team.TECH SKILLS:Proficient with quantitative modeling.Coding experience with understanding of object-oriented software development and experience with Python, Bash, Python’s scientific libraries (NumPy, Pandas), and version control tools, such as git. C++ experience is a plus.Experience navigating a Linux command line environment, including managing/troubleshooting Linux systems and familiarity with the Unix command line and basic shell.Experience with AWS tools and services.Experience in fintech, lending, banking, or asset management.Knowledge of cryptocurrency, including Bitcoin and Ethereum, and cryptocurrency exchanges.Data analysis abilities and experience with SQL and NoSQL databases and DataFrames in Python or R."
Senior Back-End Python Engineer,ActivePrime,"Mountain View, California, USA",21 October 2021,Administrator,"Back end,Big Data,Cloud,Database,Finance,Front end,Integration,Lead,Machine Learning,Management,Numeric processing,Operations,Systems,Testing,Text Processing,Web","Mandatory Job Requirements:5+ years of experience & strong proficiency in Python and Flask.Writing highly performant, scalable, and efficient code in Python (Flask) with Postgres.Experience in working with databases like Postgres.Good knowledge of authentication using OAuth 2.Experience in designing modern well-documented REST APIs (OAS) and API integration.Building and shipping SaaS software.Good communication skills working with email, chat Google docs, phone, and tools such as Slack, Zoom etc.Very comfortable reaching out and communicating with others (both verbally and written) about engineering projects.Identify and resolve bugs and issues across applications as they arise and self test the fix/feature on local before sending PR as the first line of defense.Ability to locate and leverage Python modules in-app or in open source."
Senior / Lead Python Developer,Improving Enterprises,"Plano, Texas, United States",21 October 2021,Developer / Engineer,"Back end,Cloud,Database,Front end,Lead,Web","Required Background/Experience:Advanced experience creating and maintaining servers and network infrastructure in Amazon Web Services (AWS)Advanced web development experience with PythonAdvanced database development and administration with PostgreSQLAdvanced experience with Elastic SearchAdvanced front end website design (React/Angular)Advanced HTML, JavaScript, AJAX and CSS requiredAdvanced experience with Django for building and deploying eCommerce applicationsAdvanced experience with open source platforms and Linux system administrationExperience with version control systemsGeneral networking experience required"
Senior Software Engineer (Python Stack/ Django / FinTech / Google Cloud) – Africa,CA Global,"Africa, Africa",21 October 2021,Developer / Engineer,"Back end,Cloud,Database,Finance,Front end,Integration,Management,Systems,Web","Responsibilities:Develop and manage ticket queues and escalation paths, ensuring SLAs are adhered toPlan, Design, Develop, Test and Maintain the company’s development projects such as financial products for web applications, e-commerce portals, and system integration projectsDevelop, refine, and fine-tune applicationsEnsure high functionality and optimization by performing SIT, unit testing and code reviews on software developedProduce detailed and accurate technical documentation relating to assigned tasksMentor and guide Junior and Intermediate Developers towards fulfilling their development tasksPromote highly-collaborative, team-oriented environment, working closely with all levels of product development staff and third-party development teamsCoordinate with software architects and business analysts to determine functionalities and break down tasks for the sprint backlog"
Founder / Python Developer,Tradail Inc.,"Boston ( Preferably)  / Remote US, MA, USA",20 October 2021,Developer / Engineer,"Database,Integration,Numeric processing,Operations","We are all about the right fit. All of us kind of have a screw loose and want the same type of people.We are looking for individuals who are out of the box thinkers. Honestly the crazier the better. We want people will to take risks with us. In return, we are offering a fairly free hand at the wheel to try any/every hair brained scheme you've ever thought up.Python, C++About the CompanyStartup Freight Tech. When we solve this issue, there will be a fundamental paradigm shift in global logistics. We have the solution, we just don't have the technical skills to implement what we want to do.Contact InfoContact: Conor MoynihanE-mail contact:camoyn13@gmail.comWeb:https://www.linkedin.com/in/conor-moynihan-2b41a611b/"
Big Data Engineer,Logic20/20,"Seattle, WA, USA",19 October 2021,Developer / Engineer,"Big Data,Machine Learning,Management,Testing",Strong understanding of high-performance ETL development with PythonData engineering implementation experience with the following technologies:PythonSnowflakeSQLAdvanced engineering skills with PythonComfortable with maintaining and running Machine Learning modelsComfortable with maintaining and troubleshooting Jupiter notebooks with Machine Learning models and data pipelinesDemonstrated ability to identify business and technical impacts of user requirements and incorporate them into the project scheduleStrong communication and interpersonal skillsAbility to work both independently and as part of a teamWork across team to solve technical roadblocks for our customers.An undergraduate degree in technology or business is required
Senior Software Engineer,Lambda,"Remote, Remote, United States, Canada or UK",19 October 2021,Developer / Engineer,"Back end,Front end,Web","5+ years of professional software engineering experience. Startup experience with a track record of shipping and maintaining web applications.ExperienceDemonstrated ability to ship web applications (backend, sysadmin/devops, deployment)Intellectual curiosityHighly effective team collaboratorStrong engineering background - EECS preferred, Mathematics, Software Engineering, PhysicsVery comfortable in a command line interface"
